X,Y,Z,L,a,b,R,G,B,hue_deg,chroma
2.213893186345826658e-01,1.005865121051793681e-01,1.050786557904479945e+00,3.794748946639480636e+01,7.510920192548751118e+01,-1.046163246481018660e+02,2.177018633531369596e-01,1.418321975068132512e-01,1.000000000000000000e+00,3.056764247621141521e+02,1.287865194683073184e+02
2.353646046754873100e-01,1.059395734434637887e-01,1.050786945246110937e+00,3.888799868053098407e+01,7.739698620678409213e+01,-1.029947813209257248e+02,3.054179193526592728e-01,1.246574702886090458e-01,1.000000000000000000e+00,3.069235849759153325e+02,1.288340733394641973e+02
2.354879036885035304e-01,1.268644434440887592e-01,1.061693770439169127e+00,4.228694529772491961e+01,6.280117281412428554e+01,-9.781595201533232853e+01,2.172780571919086245e-01,2.573508032931263179e-01,1.000000000000000000e+00,3.027018448354739348e+02,1.162409040548777739e+02
2.532260768498679204e-01,1.337949643265151645e-01,1.061694562498698646e+00,4.332957608244348080e+01,6.600197741054780920e+01,-9.601836204681961817e+01,3.237875464977897910e-01,2.469977600025030640e-01,1.000000000000000000e+00,3.045042088285794648e+02,1.165151787204422362e+02
2.537004458360302972e-01,1.594516955135801273e-01,1.069763936005246885e+00,4.690247055357375672e+01,5.080234588516130145e+01,-9.035934964651109169e+01,2.311362432337735751e-01,3.452646100213597191e-01,1.000000000000000000e+00,2.993458120920505507e+02,1.036614220237018031e+02
2.751086589383285874e-01,1.680244621553936557e-01,1.069765121180358269e+00,4.801014738845360341e+01,5.483980840962848902e+01,-8.844963542035549153e+01,3.489300508205802065e-01,3.371922317368130084e-01,1.000000000000000000e+00,3.017993968537678597e+02,1.040708537122597335e+02
2.765722388222535133e-01,1.986137846778365801e-01,1.075383054961609464e+00,5.168011972375580854e+01,3.960644805261992474e+01,-8.246951364885921976e+01,2.595063551362465915e-01,4.225418760044847288e-01,1.000000000000000000e+00,2.956529084039274267e+02,9.148711061578160297e+01
3.018883861907432631e-01,2.090570895543150676e-01,1.075385025396098149e+00,5.284614426102217521e+01,4.439631691384187917e+01,-8.045924815609934910e+01,3.822264373043085528e-01,4.158909371823033552e-01,1.000000000000000000e+00,2.988893154807017254e+02,9.189517707344090525e+01
3.050254560895140354e-01,2.442604976170185127e-01,1.079264837126904464e+00,5.651186384928537620e+01,2.977340670141254009e+01,-7.437826604035706168e+01,3.032674587602374183e-01,4.927977817778139147e-01,1.000000000000000000e+00,2.918160842788229274e+02,8.011605460691289693e+01
3.354210977845033526e-01,2.572455934169806668e-01,1.079268882328088264e+00,5.777467482124680487e+01,3.534299772367188552e+01,-7.220125486620850097e+01,4.280799617441528038e-01,4.871533719965311371e-01,1.000000000000000000e+00,2.960820576697483375e+02,8.038749089473232345e+01
3.409304564839467644e-01,2.971180689680621434e-01,1.082146718465284652e+00,6.140476156143336084e+01,2.162012118527012561e+01,-6.611955766766995168e+01,3.632162261322662844e-01,5.581984677429213670e-01,1.000000000000000000e+00,2.881069821182481974e+02,6.956454230593412547e+01
3.763861740886381146e-01,3.129278062123258541e-01,1.082154602586220093e+00,6.275401567190267826e+01,2.771588875423880438e+01,-6.379374215511841584e+01,4.835424582630762358e-01,5.537627756923889644e-01,1.000000000000000000e+00,2.934830633593070957e+02,6.955438180007837445e+01
3.848190529744859312e-01,3.568501119500947505e-01,1.084302821159195185e+00,6.627854472972488509e+01,1.524587705630281498e+01,-5.784894247315355642e+01,4.338792613608725146e-01,6.192906795283044108e-01,1.000000000000000000e+00,2.847643756464593139e+02,5.982421677279302230e+01
4.241802113409517960e-01,3.753562320175337641e-01,1.084312887951616178e+00,6.767695467482054994e+01,2.142268549342862727e+01,-5.543850888068695326e+01,5.439158357732271076e-01,6.164666409777354028e-01,1.000000000000000000e+00,2.911276521291981680e+02,5.943365814641030198e+01
4.355076697033543609e-01,4.212606883011901782e-01,1.085810170375812511e+00,7.095775124534898737e+01,1.065272385088455920e+01,-4.987384412133428668e+01,5.088884075193313983e-01,6.750681911102857091e-01,1.000000000000000000e+00,2.820568263855467421e+02,5.099883187762593906e+01
4.780124590663497597e-01,4.425851537406344516e-01,1.085824584527401937e+00,7.240095087005789765e+01,1.658525886232636992e+01,-4.738645302316160013e+01,6.074527590500865548e-01,6.741975945466176512e-01,1.000000000000000000e+00,2.892900465468835591e+02,5.020504697385190696e+01
4.923582477890076636e-01,4.897128480981270404e-01,1.086827406535218810e+00,7.543346016810770038e+01,7.452695981901458211e+00,-4.221947933489082772e+01,5.845931045466179476e-01,7.265038640605884224e-01,1.000000000000000000e+00,2.800108747232629298e+02,4.287221842531505445e+01
5.367866818296658238e-01,5.137966625723474623e-01,1.086852901045953113e+00,7.690842164143604975e+01,1.282744581695011199e+01,-3.967800508048448904e+01,6.710037467523941590e-01,7.279277523290258456e-01,1.000000000000000000e+00,2.879154275704850647e+02,4.169996946466201138e+01
5.545252622952125954e-01,5.621400888452844358e-01,1.087513721113338327e+00,7.973546297879983058e+01,5.145237122333945479e+00,-3.484429446005832176e+01,6.581152746085345839e-01,7.750002757448900548e-01,1.000000000000000000e+00,2.783998058841502825e+02,3.522212829265566114e+01
5.997613715486032060e-01,5.890126033801077465e-01,1.087547790862352315e+00,8.123729116939769312e+01,9.737002675913819516e+00,-3.225702304210249594e+01,7.326554017291833087e-01,7.790331268707769707e-01,1.000000000000000000e+00,2.867967983601245123e+02,3.369458052342370991e+01
6.211002120101023483e-01,6.379942306709497357e-01,1.087978555369851996e+00,8.386122893758013674e+01,3.453929608509043181e+00,-2.775938257313030988e+01,7.284313790803681465e-01,8.210484536240822973e-01,1.000000000000000000e+00,2.770925116668478267e+02,2.797343294238206823e+01
6.657719506911269347e-01,6.673709612562095383e-01,1.088020830129652339e+00,8.537100631411836105e+01,7.108699993399969941e+00,-2.515890765758948078e+01,7.912688467874011700e-01,8.277550969260014657e-01,1.000000000000000000e+00,2.857777457669538421e+02,2.614391420807679012e+01
6.904901634415203660e-01,7.156439969423530334e-01,1.088298400036574520e+00,8.775849572084709393e+01,2.246625792671708144e+00,-2.105954740071751630e+01,7.947054839198675058e-01,8.642735602321329758e-01,1.000000000000000000e+00,2.760892654147223766e+02,2.117904304201126209e+01
7.335561061413231609e-01,7.474094832755407980e-01,1.088344558603240753e+00,8.927151115719857444e+01,4.881930447673211049e+00,-1.845372696741003438e+01,8.464641359309847957e-01,8.737263856633538106e-01,1.000000000000000000e+00,2.848181243169103141e+02,1.908856421744797061e+01
7.616853708320420191e-01,7.944887404113951668e-01,1.088529090364878993e+00,9.143700789678034369e+01,1.336899343679032182e+00,-1.473141230606138663e+01,8.566252301957270054e-01,9.050705896199036093e-01,1.000000000000000000e+00,2.751854795913513954e+02,1.479195079718379446e+01
8.043940322196014847e-01,8.301142056583450390e-01,1.088590190023516424e+00,9.301943774650970909e+01,3.039058826191654017e+00,-1.200682633524210452e+01,9.002469844277652955e-01,9.177190818189812083e-01,1.000000000000000000e+00,2.842038778607088148e+02,1.238546556225145423e+01
8.359047518450696268e-01,8.755687903067576050e-01,1.088717923584040292e+00,9.497404426561681134e+01,7.107675636499055649e-01,-8.644636237788660083e+00,9.163122795734286452e-01,9.441727911995722033e-01,1.000000000000000000e+00,2.747003231880052567e+02,8.673806904308262844e+00
8.774341189683012576e-01,9.149997074705810141e-01,1.088792706403294286e+00,9.661553584777416859e+01,1.440832449593865139e+00,-5.819057015273032540e+00,9.518809804065694324e-01,9.599967850904783662e-01,1.000000000000000000e+00,2.839070643157080553e+02,5.994782956438118759e+00
9.121716523825043055e-01,9.583931359055912758e-01,1.088888427201313069e+00,9.836835839276258753e+01,2.274102752064521837e-01,-2.802809506578718413e+00,9.730694097110316187e-01,9.818220856537230867e-01,1.000000000000000000e+00,2.746386204157018938e+02,2.812020014764744502e+00
5.421124302947263125e-06,1.626804427834023898e-07,2.536553637656496112e-05,1.469486414471532498e-04,2.157409843682456252e-02,-3.602063420817813721e-02,6.034147689852414030e-05,0.000000000000000000e+00,3.498774053151644720e-04,3.009189613221664672e+02,4.198723391843250247e-02
1.564691288113755698e-05,4.680492557112833804e-07,7.332741772907960982e-05,4.227871591666598761e-04,6.227482199937239837e-02,-1.041329553209235925e-01,1.734500415925701959e-04,0.000000000000000000e+00,1.011423765138368255e-03,3.008807670712004665e+02,1.213335313873415006e-01
1.851345537056949621e-05,5.544868764280261639e-07,8.670240928292638190e-05,5.008659418237471073e-04,7.368099388425919383e-02,-1.231252479572397807e-01,2.055909825102639448e-04,0.000000000000000000e+00,1.195914643741096415e-03,3.008972771487247542e+02,1.434876842948690778e-01
3.642039560322780245e-05,1.086189713433333723e-06,1.708766186289982156e-04,9.811511452184618065e-04,1.449661240197491763e-01,-2.426705267654538645e-01,4.025269523571496861e-04,0.000000000000000000e+00,2.356926456299410222e-03,3.008531815242616858e+02,2.826732418782014200e-01
3.766528293374927757e-05,1.535741340935490507e-06,1.708766186289982156e-04,1.387229465336758949e-03,1.483154357033444892e-01,-2.419703917307669538e-01,4.457204501104659162e-04,0.000000000000000000e+00,2.356637456133610017e-03,3.015061604473050920e+02,2.838082784948559589e-01
7.001345659917918344e-05,2.457948046309588652e-06,3.233954435487326035e-04,2.220255366719214862e-03,2.772382770610259950e-01,-4.586437377010588179e-01,7.992651866450422617e-04,0.000000000000000000e+00,4.460362032395265124e-03,3.011518765186659721e+02,5.359245659606991508e-01
7.182160671933920004e-05,3.110904183845797309e-06,3.233954435487326035e-04,2.810068227400819296e-03,2.821030212022263006e-01,-4.576268189757481952e-01,8.620020515505769088e-04,0.000000000000000000e+00,4.459942270979793018e-03,3.016516627520165912e+02,5.375913131899416886e-01
1.271665547411530062e-04,4.695017186259073735e-06,5.845263237726392672e-04,4.240991635395374715e-03,5.026544190772780363e-01,-8.285900138570390094e-01,1.465574667020422706e-03,0.000000000000000000e+00,8.061734232190080618e-03,3.012426033448921885e+02,9.691351175566408349e-01
1.297925252891183755e-04,5.643303197715438212e-06,5.845263237726392672e-04,5.097574877375166125e-03,5.097194714563935136e-01,-8.271131461984548849e-01,1.556687213525505611e-03,0.000000000000000000e+00,8.061124614225440715e-03,3.016440039217954450e+02,9.715606497775070016e-01
2.395048491844009142e-04,8.746173541206813106e-06,1.102964502236852048e-03,7.900386166536321753e-03,9.470721312551666493e-01,-1.563673406634147334e+00,2.748832012397041391e-03,0.000000000000000000e+00,1.521196047381727541e-02,3.012020871601625913e+02,1.828119291625971421e+00
2.426499145006066167e-04,9.881914638079569580e-06,1.102964502236852048e-03,8.926296892891372181e-03,9.555337822963055894e-01,-1.561904595036983645e+00,2.857955431833919015e-03,0.000000000000000000e+00,1.521123034698868698e-02,3.014572418274129859e+02,1.831008130267893552e+00
4.913260875509542708e-04,1.693586621349466308e-05,2.280031721341831390e-03,1.529810522521657390e-02,1.946764705943085261e+00,-3.234184096192299407e+00,5.547022560436598582e-03,0.000000000000000000e+00,3.144623614255027955e-02,3.010451563532367345e+02,3.774895970535991907e+00
4.949752774890255015e-04,1.825365578550482428e-05,2.280031721341831390e-03,1.648845966491307991e-02,1.956582681559806858e+00,-3.232131760951445720e+00,5.673637450177134757e-03,0.000000000000000000e+00,3.144538898379591746e-02,3.011887681698631241e+02,3.778212740163112926e+00
1.055300113529185737e-03,3.375950030485516142e-05,4.936778452898312776e-03,3.049483159018961942e-02,4.191566820797007153e+00,-7.007264412189606162e+00,1.171117664507429802e-02,0.000000000000000000e+00,6.357967122726201903e-02,3.008867872514377950e+02,8.165230367573549586e+00
1.061411759843689222e-03,3.596652757937830405e-05,4.936778452898312776e-03,3.248843115309085761e-02,4.208009922834529348e+00,-7.003827171563914433e+00,1.192323068398327100e-02,0.000000000000000000e+00,6.357864167939925037e-02,3.009981125894696561e+02,8.170736965525867035e+00
2.017344046408988106e-03,6.234844493176256905e-05,9.479414847011978160e-03,5.631911938669631468e-02,8.021243724975867906e+00,-1.345893850068262765e+01,2.215956383802674540e-02,0.000000000000000000e+00,1.006208413443391569e-01,3.007940511776232029e+02,1.566790912855387496e+01
2.027342793056191150e-03,6.595917507278356443e-05,9.479414847011978160e-03,5.958067855000592772e-02,8.048144891504419363e+00,-1.345331512281485153e+01,2.250648748533329996e-02,0.000000000000000000e+00,1.006196901387303999e-01,3.008890297444483508e+02,1.567687226421161562e+01
3.910776088298122642e-03,1.183368879489668773e-04,1.845721455818588250e-02,1.068932725995317412e-01,1.555964786190880389e+01,-2.360251227441699129e+01,4.242580460124275449e-02,0.000000000000000000e+00,1.504194886983034329e-01,3.033943460710875115e+02,2.826979354807190603e+01
3.926393731308487102e-03,1.239767045569245009e-04,1.845721455818588250e-02,1.119876980532907851e-01,1.560166640866794729e+01,-2.359372878225534009e+01,4.294160860455042278e-02,0.000000000000000000e+00,1.504182696552705256e-01,3.034752001511140520e+02,2.828561529431491550e+01
