X,Y,Z,L,a,b,R,G,B,hue_deg,chroma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.732664021198567403e-06,1.728625478909529575e-07,2.674801896265167531e-05,1.561460992753893606e-04,2.281066874998405325e-02,-3.798179621537500772e-02,6.427714901758681189e-05,0.000000000000000000e+00,3.689545905547807550e-04,3.009876991961019144e+02,4.430511767920015248e-02
2.618273949947683919e-05,7.835553297079400323e-07,1.226647383666756657e-04,7.077826272663401141e-04,1.042061388900061836e-01,-1.741964360062908668e-01,2.904776229434210535e-04,0.000000000000000000e+00,1.691949896177259889e-03,3.008883071549637407e+02,2.029860037038442033e-01
2.867233134625272149e-05,1.682592567130360728e-06,1.226647383666756657e-04,1.519879634063414642e-03,1.109042704039026050e-01,-1.727962687531947594e-01,3.768582581211648392e-04,0.000000000000000000e+00,1.691371938401511768e-03,3.026931989250267065e+02,2.053248832675870772e-01
9.336392828122164591e-05,3.526870549925525646e-06,4.276799905027475128e-04,3.185809105264780783e-03,3.687310205346266967e-01,-6.061111417669073909e-01,1.083895671021120914e-03,0.000000000000000000e+00,5.898511313275576866e-03,3.013144684569334117e+02,7.094598520554150634e-01
9.861548374797184590e-05,5.423303315085441569e-06,4.276799905027475128e-04,4.898849798209425899e-03,3.828600877753690623e-01,-6.031576233307966994e-01,1.266107347526677614e-03,0.000000000000000000e+00,5.897292167113763958e-03,3.024057301024852222e+02,7.144095221883723923e-01
3.180240200579319623e-04,1.162858833917104653e-05,1.464480213717469495e-03,1.050406077792587212e-02,1.257501181234563337e+00,-2.076169978811748251e+00,3.650221399564991705e-03,0.000000000000000000e+00,2.019791091142243353e-02,3.012025833593799575e+02,2.427301176559163221e+00
3.253218640430202355e-04,1.426397396308007323e-05,1.464480213717469495e-03,1.288459485131454585e-02,1.277135690678068869e+00,-2.072065609719697665e+00,3.903432534750447564e-03,0.000000000000000000e+00,2.019621671865952720e-02,3.016479660452835674e+02,2.434036043978562436e+00
1.445889251267749127e-03,4.527338593659457720e-05,6.777583528104034680e-03,4.089528183731871991e-02,5.746775757130937023e+00,-9.621776526195136015e+00,1.597762188482915180e-02,0.000000000000000000e+00,8.031875316239336926e-02,3.008485054754531802e+02,1.120731971181279363e+01
1.465885276225629063e-03,5.249431597548274682e-05,6.777583528104034680e-03,4.741792119726184751e-02,5.800574139696354159e+00,-9.610530596264199588e+00,1.667141809424171200e-02,0.000000000000000000e+00,8.031595322295742578e-02,3.011136859475707865e+02,1.122537120508023101e+01
