X,Y,Z,L,a,b,R,G,B,hue_deg,chroma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.143889593360001044e-05,3.449280629092474278e-07,5.337270843229381526e-05,3.115722417170729841e-04,4.551616230112631722e-02,-7.578846635215574778e-02,1.282577311553148428e-04,0.000000000000000000e+00,7.362068698931681235e-04,3.009876991960869645e+02,8.840595377368153096e-02
1.405238104482290718e-04,4.024980450387706063e-06,6.619968514909720060e-04,3.635749933501131181e-03,5.599808776128589738e-01,-9.404202885827939173e-01,1.539070373073519798e-03,0.000000000000000000e+00,9.131074394709774722e-03,3.007720261938537760e+02,1.094517657450172488e+00
1.454915151570869718e-04,5.818909653508207555e-06,6.619968514909720060e-04,5.256199538496986179e-03,5.733462569641745166e-01,-9.376264099534903362e-01,1.711433093775726385e-03,0.000000000000000000e+00,9.129921145784550274e-03,3.014452391458720513e+02,1.099031034601434698e+00
2.381459588927051056e-03,6.769475572009840377e-05,1.126370587769452876e-02,6.114842212064530713e-02,9.492017819040798443e+00,-1.588363873562247441e+01,2.580410296556865518e-02,0.000000000000000000e+00,1.122176885647660771e-01,3.008624204830738336e+02,1.850373966961151240e+01
2.396021628072617701e-03,7.295337575876204136e-05,1.126370587769452876e-02,6.589851412520175700e-02,9.531196307331930129e+00,-1.587544892182151735e+01,2.630935695082651030e-02,0.000000000000000000e+00,1.122161724587484866e-01,3.009794825130458662e+02,1.851684588471432491e+01
2.610220277942566433e-02,7.785994883157814099e-04,1.251549884443974303e-01,7.033060340938384059e-01,7.885521951537209873e+01,-6.843764326498178718e+01,1.558975275358338852e-01,0.000000000000000000e+00,4.010201378404042449e-01,3.190456194128122434e+02,1.044119565015541014e+02
2.620003807444874419e-02,8.139296021894019875e-04,1.251549884443974303e-01,7.352195951036044619e-01,7.890589895954856559e+01,-6.838261988393045954e+01,1.569935943074821372e-01,0.000000000000000000e+00,4.010176373866379262e-01,3.190866503733591344e+02,1.044141924874420937e+02
9.515909971286222457e-02,5.367904615636944800e-03,4.710709704876003268e-01,4.848808358176647459e+00,1.423062376481208275e+02,-1.153083374107658443e+02,2.833098558679258971e-01,0.000000000000000000e+00,7.367576547212368876e-01,3.209827349278801876e+02,1.831586141845325812e+02
9.549633915198449396e-02,5.489687944237343735e-03,4.710709704876003268e-01,4.958814787852020345e+00,1.421060173297773304e+02,-1.151186711527048487e+02,2.852586616261585939e-01,0.000000000000000000e+00,7.367536735582739249e-01,3.209894120281115875e+02,1.828836477361920174e+02
1.601832150590489501e-01,1.883636110250373752e-02,8.423754177505710095e-01,1.486433980333980287e+01,1.431479444953035909e+02,-1.303752963737371715e+02,2.936339467065668951e-01,0.000000000000000000e+00,9.525683406996751090e-01,3.176735848535756759e+02,1.936208974201140336e+02
1.617190575493625826e-01,1.939098185749501407e-02,8.423754177505710095e-01,1.516433919307035794e+01,1.427347245965318905e+02,-1.298580560466155021e+02,3.020355234881363926e-01,0.000000000000000000e+00,9.525554027535910739e-01,3.177045130575646112e+02,1.929671379428469891e+02
1.826525372431627714e-01,4.981938364578551715e-02,1.020312205814381867e+00,2.668324598255100000e+01,1.045573149796498740e+02,-1.221081487974987141e+02,7.518455295836648511e-02,0.000000000000000000e+00,1.000000000000000000e+00,3.105723901634729600e+02,1.607564372537093789e+02
1.895656514866399522e-01,5.233216838256360415e-02,1.020312205814381867e+00,2.738912571669268203e+01,1.051099695134953578e+02,-1.208911147731165130e+02,1.723494370826529898e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.110056487446826736e+02,1.601960277978662930e+02
1.905773776935190400e-01,1.190235081421449070e-01,1.076473334032976625e+00,4.106049980966314195e+01,4.670042135864554922e+01,-1.008464864545310746e+02,0.000000000000000000e+00,3.195370617748514164e-01,1.000000000000000000e+00,2.948481123581318570e+02,1.111347973647271061e+02
2.155524252599957669e-01,1.282623068174334191e-01,1.076473334032976625e+00,4.250024317838909838e+01,5.275750968785097683e+01,-9.836417030155529062e+01,0.000000000000000000e+00,3.063442794310126671e-01,1.000000000000000000e+00,2.982068329830828475e+02,1.116192851956016625e+02
2.280708568690731075e-01,2.687409924890772905e-01,1.091955666073848530e+00,5.885761074320170394e+01,-1.195637661070109203e+01,-7.111239265324857683e+01,0.000000000000000000e+00,6.084038408517217222e-01,1.000000000000000000e+00,2.604559244827123621e+02,7.211052163538079185e+01
2.988547777748593037e-01,2.963971348389601856e-01,1.091958826775831559e+00,6.134210529149993363e+01,6.629243206852653003e+00,-6.682897450278406382e+01,0.000000000000000000e+00,5.941305027273655615e-01,1.000000000000000000e+00,2.756650445441536590e+02,6.715697058823725740e+01
3.561014381292358366e-01,4.844595107965194436e-01,1.095960573350190481e+00,7.510533680435058557e+01,-3.224080601009432456e+01,-4.334349971984925531e+01,0.000000000000000000e+00,8.031658377473297472e-01,1.000000000000000000e+00,2.333565031422244829e+02,5.401970510975700535e+01
4.975869613427943983e-01,5.475480363430328401e-01,1.095992034819623262e+00,7.889982199763171877e+01,-6.072025882386533624e+00,-3.680320166943720039e+01,5.109627105347284148e-01,7.920646550866583535e-01,1.000000000000000000e+00,2.606313763090716975e+02,3.730073928808431560e+01
6.098363812178123622e-01,7.354171242751486037e-01,1.096728406119055643e+00,8.870543738545006818e+01,-2.006520483879986472e+01,-1.994184482572671868e+01,5.828766397086423412e-01,9.232185311715045417e-01,1.000000000000000000e+00,2.248233314935996816e+02,2.828939059570497250e+01
7.903504144471055204e-01,8.426515010099291381e-01,1.096864360954852513e+00,9.356554133323466260e+01,-2.083366095826766351e+00,-1.157063854214976928e+01,8.645050613179561250e-01,9.359322325182919400e-01,1.000000000000000000e+00,2.597929030797595260e+02,1.175670406884183805e+01
1.290849145146290495e-04,3.680052387478458317e-06,6.086241430586781772e-04,3.324177691787610911e-03,5.144647153117187788e-01,-8.646318222306326184e-01,1.410812641918203925e-03,0.000000000000000000e+00,8.394867524816605406e-03,3.007530752962497331e+02,1.006112385031926904e+00
2.365052988284593351e-03,6.555589845406863505e-05,1.121033316926223558e-02,5.921640027393593186e-02,9.433136277388342705e+00,-1.581803413113304124e+01,2.550348251371113359e-02,0.000000000000000000e+00,1.118875802456800739e-01,3.008098750592311035e+02,1.841722736465697707e+01
2.376491884218193563e-03,6.590082651697788110e-05,1.126370587769452876e-02,5.952797251564945213e-02,9.478652439689483344e+00,-1.588643261425177755e+01,2.563174024486647440e-02,0.000000000000000000e+00,1.122182057655372045e-01,3.008224479725248557e+02,1.849928629108685385e+01
2.608267303557124453e-02,7.715469390739973987e-04,1.251549884443974303e-01,6.969354924842861010e-01,7.884504666777813497e+01,-6.844862695741204561e+01,1.556777754479266029e-01,0.000000000000000000e+00,4.010206369756453837e-01,3.190374084106832129e+02,1.044114740648702195e+02
2.608764074028010332e-02,7.733408682771179214e-04,1.251549884443974303e-01,6.985559420892819560e-01,7.884763607709233213e+01,-6.844583307878274070e+01,1.557337033560977080e-01,0.000000000000000000e+00,4.010205100126981725e-01,3.190394976592492071e+02,1.044115979228082836e+02
