center_nm,L,a,b,within_MacAdam_hull
370,42.3115901959,19.3354397741,-68.4420016001,True
380,46.4225145798,14.4459132196,-67.3108379136,True
390,50.573126663,9.24877126414,-65.5377992745,True
400,54.7338004592,3.8550956282,-63.1096449225,True
410,58.8728722295,-1.61072606004,-60.0232781793,True
420,62.9570098028,-7.01510912789,-56.2862832676,True
430,66.9516373687,-12.220209783,-51.9172217192,True
440,70.821408781,-17.0894184673,-46.9456705761,True
450,74.530720646,-21.4930512353,-41.4119924467,True
460,78.0442549102,-25.3138345736,-35.3668359477,True
470,81.3275393556,-28.4517814411,-28.8703737999,True
480,84.3475134368,-30.8281116075,-21.9912945073,True
490,87.0730862818,-32.3879694038,-14.8055717788,True
500,89.475673481,-33.1018187058,-7.39504330576,True
510,91.529699508,-32.9655254034,0.15416310679,True
520,93.2130532635,-31.999250351,7.75331302184,True
530,94.5074852885,-30.2453561726,15.3128119281,True
540,95.3989366263,-27.7655738025,22.7439665106,True
550,95.8777910699,-24.6376821736,29.960712174,True
560,95.9390445556,-20.9519354222,36.881259976,True
570,95.5823876825,-16.8074368205,43.4296193637,True
580,94.8121996689,-12.308616973,49.5369578081,True
590,93.6374544196,-7.56193280511,55.1427643689,True
600,92.0715416936,-2.67286780026,60.1957911459,True
610,90.1320085412,2.25671538775,64.6547541685,True
620,87.8402281675,7.1308413888,68.4887832399,True
630,85.2210050989,11.8612958185,71.6776182668,True
640,82.3021269377,16.3691066502,74.2115573536,True
650,79.1138740551,20.5856427085,76.0911691634,True
660,75.6884992672,24.4533456186,77.3267884793,True
670,72.059689857,27.9261170395,77.9378193659,True
680,68.2620242556,30.9693875806,77.9518746657,True
690,64.3304353004,33.5598976896,77.4037836937,True
700,60.2996912704,35.6852240679,76.3345018716,True
710,56.2039049078,37.3430877847,74.7899566868,True
720,52.0760794092,38.5404821332,72.8198638411,True
