center_nm,L,a,b,within_MacAdam_hull
370,0.000647214397297,0.0960303764417,-0.160846538709,False
380,0.00199940646303,0.307529824979,-0.5169524785,False
390,0.00772918430669,1.20624239155,-2.03343341332,False
400,0.0322268457447,5.13009375705,-8.67598932544,False
410,0.113442978892,17.8417040101,-26.1580498584,False
420,0.374380413509,49.2488100172,-49.1292817149,False
430,0.997515460463,76.0215272048,-67.5903463611,False
440,2.22998691689,88.9675335574,-78.3263356933,False
450,4.06499789147,85.4863685162,-79.9285408782,False
460,6.46994401809,67.6147673003,-73.8329507478,False
470,9.61560782777,33.8075160396,-58.9967813292,False
480,13.3450650353,-11.8832338839,-38.2152860517,False
490,17.2215986581,-58.1272853724,-15.8856376785,False
500,22.3697343362,-92.9981330358,5.27605973618,False
510,28.048755297,-114.784432507,25.4870394688,False
520,32.9174573318,-112.3505516,44.1672781508,False
530,36.3682397313,-92.5468666358,56.057740636,False
540,37.8932943273,-72.8644936734,62.1149432383,False
550,38.4259219041,-53.3435635902,64.8547560123,False
560,37.8247825201,-33.0655859289,64.6123577032,False
570,36.4715997913,-12.5030544333,62.5709838984,False
580,34.5558420249,7.36274593171,59.3571708512,False
590,31.5016039879,25.2541115252,54.1627219284,False
600,28.6454591185,39.8221375284,49.2859446197,False
610,25.3681177729,49.2143082478,43.6881233725,False
620,21.4260040284,52.8141967141,36.9185637217,False
630,16.8531139244,51.4505714376,29.0497127397,False
640,12.4916273413,47.7476842962,21.5348497883,False
650,8.02249111212,41.9967516979,13.8315035028,False
660,4.57494633627,32.8695038772,7.88783602181,False
670,2.46662725776,19.880061003,4.25280561666,False
680,1.24249826589,10.1307548037,2.14223838947,False
690,0.566345397242,4.65503377468,0.976457581452,False
700,0.277988841747,2.29197748285,0.47929110646,False
710,0.143058283558,1.17993415458,0.246652213031,False
720,0.0652291792335,0.538006724622,0.112464102127,False
